sitesId,Name
18,Templo de Na Tcha
17,Ru?nas de S?o Paulo
22,Funda??o Oriente
23,Cemit?rio Protestante
21,Igreja de Santo Ant?nio de Lisboa
0,Templo de A-Ma
1,Quartel dos Mouros
3,Casa do Mandarim
2,Largo do Lilau
4,Igreja de S?o Louren?o
5,Igreja do Semin?rio de S?o Jos?
7,Teatro Dom Pedro V
9,Igreja de Santo Agostinho
6,Largo de Santo Agostinho
8,Biblioteca Sir Robert Ho Tung
10,Instituto para os Assuntos Municipais
12,Templo de Sam Kai Vui Kun
11,Largo do Senado
13,Santa Casa da Miseric?rdia de Macau
14,Igreja da S? Catedral
15,Casa de Lou Kau
16,Igreja de S?o Domingos
20,Monte do Forte
24,Farol e Fortaleza da Guia
19,Old Macau City Walls Sections
18,Templo de Na Tcha
